"Study","Excl1","Excl2"
"MedinaIgnacioIBritish Heart Foundation Glasgow Cardiovascular Research Centre, 2020May25",NA,"Molecular/genetic focus"
"HaynesAndrewASchool of Human Sciences (Exercise and Sport Science), 2020May",NA,"Not_comparison"
"ParkSohyunSDepartment of Food Science and Nutrition, 2020May05",NA,"Not_comparison"
"VincentKevin RKRFrom the Divisions of Physical Medicine and Rehabilitation, 2020Oct",NA,"Not_comparison"
"GrandeAntonio JoseAJUniversidade Estadual de Mato Grosso do Sul, 2020Apr04","Publication type",NA
"GhaziLamaLDepartment of Epidemiology and Community Health, 2020Apr07","Cognitive focus",NA
"OmuraJohn DJDDivision of Nutrition, 2020May","Disease-related",NA
"ScholesShaunSResearch Department of Epidemiology and Public Health, 2020Mar19",NA,"Not_comparison"
"PesolaArto JAJ0000-0002-2984-9847Active Life Lab, 2020Mar17","Age inappropriate",NA
"ShambrookPhilipPHolsworth Research Initiative, 2020Oct",NA,"Not_comparison"
"Schmid-MohlerGabrielaGCenter of Clinical Nursing Science, 2019Dec",NA,"Not_comparison"
"Da&#x10f;ov&#xe1;Kl&#xe1;raK0000-0003-3164-2236Faculty of Physical Education and Sport, 2020Feb14","Exercise equipment",NA
"CostaMatthew LMLNuffield Department of Orthopaedics, 2020Feb","Sports-related",NA
"Trudelle-JacksonElaineE, 2020Mar01",NA,"Not_comparison"
"BerglindDanielD0000-0003-0616-7779Department of Global Public Health, 2020Feb04",NA,"Not_comparison"
"FlemingAbby RARUniversity of South Florida., 2020Feb01","Exercise equipment",NA
"ReisAna Carolina DosACD0000-0001-9044-1317. Graduanda em Medicina - Faculdade de Medicina de S&#xe3;o Jos&#xe9; do Rio Preto (Famerp), 2019Dec",NA,"Not_comparison"
"MarronMegan MMMDepartment of Epidemiology, 2020Nov13",NA,"Molecular/genetic focus"
"ChenYu-ChunYCDepartment of Physical Medicine and Rehabilitation, 2019Dec24","Exercise equipment",NA
"Rezola-PardoChloeCDepartment of Physiology, 2020Sep15","Cognitive focus",NA
"KowittSarah DSD0000-0001-5216-3897Gillings School of Global Public Health and School of Medicine, 2021Mar",NA,"Not_comparison"
"MandigoutStephaneSUniversit&#xe9; de Limoges, 2019",NA,"Not_comparison"
"FurtadoGuilherme Eust&#xe1;quioGEResearch Center for Sport and Physical Activity, 2020Feb","Publication type",NA
"MabweazaraZ SmartZSSchool of Public Health, 2019Sep/Oct",NA,"Not_comparison"
"BoyleHolly KHKDepartment of Behavioral and Social Sciences, 2020Oct",NA,"Not_comparison"
"ZandiehRaziehRDepartment of Planning and Environmental Management, 2019Nov09",NA,"Not_comparison"
"ArgyridouStavroulaSDiabetes Research Centre, 2020Jul",NA,"Not_comparison"
"MuolloValentinaVDepartment of Neurosciences, 2019",NA,"Not_comparison"
"TempradoJean-JacquesJJInstitut des Sciences du Mouvement, 2019","Cognitive focus",NA
"FazioSarinaSBetty Irene Moore School of Nursing, 2020Feb","Publication type",NA
"ClaridgeEverett AEASchool of Rehabilitation Sciences, 2019Oct29",NA,"Not_comparison"
"MendesRomeuR0000-0002-3806-438XEPIUnit-Instituto de Sa&#xfa;de P&#xfa;blica, 2019Oct28","Exercise equipment",NA
"WangXinxinXDepartment of Landscape Architecture, 2019Oct10",NA,"Not_comparison"
"BellichaAliceA0000-0002-5572-487XFaculty of Medicine, 2020Mar",NA,"Not_comparison"
"LarunLillebethLDivision for Health Services, 2019Oct02","Publication type",NA
"BockBeth CBCCenters for Behavioral and Preventive Medicine., 2019Dec",NA,"Molecular/genetic focus"
"NaylorLouise HLHSchool of Human Sciences (Exercise and Sport Science), 2020Feb",NA,"Molecular/genetic focus"
"BearneLindsayL0000-0002-2190-8590Department of Population Health Sciences, 2019Aug24","Publication type",NA
"de BritoJunia NJNDivision of Epidemiology &amp; Community Health, 2019Aug13","Cognitive focus",NA
"SolomonThomas P JTPJ0000-0002-0579-284XSchool of Sport, 2020Feb",NA,"Not_comparison"
"BalemansAstrid C JACJ, 2019Oct01","Disease-related",NA
"DiekmannChristinaCNutritional Physiology, 2019Nov01",NA,"Not_comparison"
"FreireYuri AlbertoYA, 2019Sep01",NA,"Not_comparison"
"HarrisTessT0000-0002-8671-1553Population Health Research Institute, 2019Jun",NA,"Not_comparison"
"ThrallsKatie JKJa Department of Family Medicine and Public Health, 2019Oct",NA,"Not_comparison"
"MoudonAnne VernezAV0000-0001-8485-4799Architecture, 2019Jun03",NA,"Not_comparison"
"Galea HolmesMelissa NMNSchool of Population Health &amp; Environmental Sciences, 2019Jun","Publication type",NA
"PryorJ LukeJL, 2019Jun27",NA,"Molecular/genetic focus"
"FrehlichLeviL0000-0002-4099-0657Department of Community Health Sciences, 2019May30",NA,"Molecular/genetic focus"
"ForteRobertaRDepartment of Human Movement and Sports Sciences, 2019May23","Cognitive focus",NA
"DornDianaD0000-0003-3059-9854Department of Kinesiology, 2019May23","Publication type",NA
"ArvidssonDanielD0000-0002-3112-5434Department of Food and Nutrition, 2019Oct","Age inappropriate",NA
"WagonerChad WCW0000-0002-4930-4238Exercise Oncology Research Laboratory, 2019Jul","Disease-related",NA
"StamatakisEmmanuelECharles Perkins Centre and Prevention Research Collaboration, 2019Apr30",NA,"Not_comparison"
"AkermanAshley PAPSchool of Physical Education, 2019Jun01",NA,"Molecular/genetic focus"
"MoritaEmikoEDepartment of Environmental Physiology for Exercise, 2019Apr17",NA,"Not_comparison"
"Toll&#xe1;rJ&#xf3;zsefJSomogy County Kaposi M&#xf3;r Teaching Hospital, 2019Sep",NA,"Not_comparison"
"Novakovi&#x107;MarkoMDivision of Internal Medicine, 2019Jul",NA,"Not_comparison"
"MoesJesseJ0000-0003-1241-1969Calvin College, 2019May",NA,"Not_comparison"
"WhitfieldGeoffrey PGPDivision of Nutrition Physical Activity and Obesity, 2019Jun","Disease-related",NA
"Coelho-J&#xfa;niorH&#xe9;lio Jos&#xe9;HJApplied Kinesiology Laboratory-AKL, 2019Jul01",NA,"Not_comparison"
"UdholmSebastianSDepartment of Cardiothoracic Surgery, 2019May15",NA,"Not_comparison"
"RodriguezNicole MNMStanford Prevention Research Center, 2019Mar01","Age inappropriate",NA
"BartelsBartBChild Development and Exercise Center, 2019Mar01",NA,"Not_comparison"
"Zapata-DiomediBel&#xe9;nB0000-0002-9238-0375School of Medicine, 2019Feb20",NA,"Molecular/genetic focus"
"MadjdAmenehAMedical Research Council/Arthritis Research UK Centre for Musculoskeletal Ageing Research, 2019Apr",NA,"Not_comparison"
"LimaLiliana PereiraLPPrograma de P&#xf3;s-Gradua&#xe7;&#xe3;o em Reabilita&#xe7;&#xe3;o e Desempenho Funcional, 2019",NA,"Not_comparison"
"CohenYanivYDepartment of Gerontology, 2019Sep15",NA,"Not_comparison"
"BrookerPaige GPGSchool of Human Movement and Nutrition Sciences, 2019Jun",NA,"Not_comparison"
"PehlivanEsraE0000-0002-1791-5392Clinic of Pulmonary Rehabilitation, 2019Jan01",NA,"Not_comparison"
"SchneiderMichael JMJDepartment of Physical Therapy, 2019Jan04","Disease-related",NA
"HwangChueh-LungCLDepartment of Applied Physiology &amp; Kinesiology, 2019Feb","Exercise equipment",NA
"Ten HaafD S MDSM0000-0001-5095-8688Radboud Institute for Health Sciences, 2019Dec","Disease-related",NA
"Losa-ReynaJos&#xe9;JCIBER of Frailty and Healthy Aging (CIBERFES), 2019Jan",NA,"Not_comparison"
"CollinsKristina JKJDepartment of Biomedical Physiology and Kinesiology, 2018Sep",NA,"Not_comparison"
"NaiduAnish SASGait and Brain Lab, 2019Jan","Cognitive focus",NA
"MazoccoLet&#xed;ciaLPostgraduate Program in Gerontology, 2019Feb",NA,"Not_comparison"
"VossMichelle WMWDepartment of Psychological and Brain Sciences, 2019Jan01","Cognitive focus",NA
"HootmanJennifer MJMCenters for Disease Control and Prevention, 2019Feb",NA,"Not_comparison"
"BaggettaRossellaRClinical Epidemiology and Physiopathology of Renal Diseases and Hypertension of Reggio Calabria, 2018Oct20","Disease-related",NA
"GendronLouis McCuskyLMInstitut Universitaire de Cardiologie et de Pneumologie de Qu&#xe9;bec, 2018Oct10","Disease-related",NA
"GibsonBryanB0000-0003-4747-6383Department of Biomedical Informatics, 2018Jan09",NA,"Not_comparison"
"AviramRonitRBen-Gurion University of the Negev., 2019Feb01","Other",NA
"ZwaldMarissa LMLCenters for Disease Control and Prevention, 2018Nov",NA,NA
"WertDavid MDMDepartment of Physical Therapy, 2018Feb",NA,"Not_comparison"
"KlasnjaPredragPKaiser Permanente Washington Health Research Institute, 2019May03",NA,"Not_comparison"
"BakarYe&#x15f;imYIzmir Bakircay University, 2020Sep",NA,"Not_comparison"
"OwenNevilleNBehavioural Epidemiology Laboratory, 2018Oct",NA,"Molecular/genetic focus"
"DomaKenjiK0000-0002-8903-0067College of Healthcare Sciences, 2018Oct","Publication type",NA
"VilleneuvePaul JPJ0000-0001-7786-7997Department of Health Sciences, 2018Aug10",NA,"Not_comparison"
"FeehanLynne MLM0000-0002-5758-4241Department of Physical Therapy, 2018Aug09","Publication type",NA
"CaldwellAaron RARExercise Science Research Center, 2018Oct",NA,"Molecular/genetic focus"
"Bay&#xe1;n-BravoAnaA0000-0002-4281-5844a Department of Preventive Medicine and Public Health, 2019Feb",NA,"Not_comparison"
"Balboa-CastilloTeresaTDepartment of Public Health-EPICYN Research Center, 2018Nov01",NA,"Not_comparison"
"LynchElizabeth AEAAdelaide Nursing School, 2018Jul27","Disease-related",NA
"NesoffElizabeth DEDDepartment of Epidemiology, 2019Feb",NA,"Not_comparison"
"HerrMarieMINSERM, 2018",NA,"Not_comparison"
"MitchellBraden LBLAlliance for Research in Exercise, 2019Jan",NA,"Not_comparison"
"PatersonKade LKL0000-0002-0323-6129Centre for Health, 2018Jul18","Publication type",NA
"AndreouAlexandrosADepartment of General Surgery, 2018Dec",NA,"Not_comparison"
"van SchootenKimberley SKSNeuroscience Research Australia, 2018Jul04",NA,"Not_comparison"
"Paraschiv-IonescuAnisoaraAInstitute of Bioengineering, 2018",NA,"Not_comparison"
"Batista FerrerHarrietHBristol Medical School: Population Health Sciences, 2018Jun",NA,"Not_comparison"
"ZieffSusan GSGSan Francisco State University, 2018Dec",NA,"Molecular/genetic focus"
"Mets&#xe4;marttilaErjaEResearch Unit of Biomedicine, 2018May23",NA,"Not_comparison"
